Jenis Usaha,Provinsi,Jenis Ikan,Tahun,Volume Produksi,Nilai Produksi
BUDIDAYA,ACEH,BANDENG,2010,"20.454,80",272.487.686
BUDIDAYA,ACEH,BANDENG,2011,"16.746,80",251.202.000
BUDIDAYA,ACEH,BANDENG,2012,"18.492,30",295.876.800
BUDIDAYA,ACEH,BANDENG,2013,"20.530,00",315.768.921
BUDIDAYA,ACEH,BANDENG,2014,"23.914,10",373.190.273
BUDIDAYA,ACEH,BANDENG,2015,"24.930,75",393.447.645
BUDIDAYA,ACEH,BANDENG,2016,"30.537,00",586.835.465
BUDIDAYA,ACEH,BANDENG,2017,"8.708,84",147.971.866
BUDIDAYA,ACEH,BANDENG,2018,"19.805,32",441.277.765
BUDIDAYA,ACEH,BANDENG,2019,"32.723,14",630.565.000
BUDIDAYA,ACEH,BANDENG,2020,"40.259,88",849.733.071
BUDIDAYA,ACEH,BAWAL,2010,"0,00",0
BUDIDAYA,ACEH,BAWAL,2011,"0,00",0
BUDIDAYA,ACEH,BAWAL,2012,"0,00",0
BUDIDAYA,ACEH,BAWAL,2013,"42,30",1.057.074
BUDIDAYA,ACEH,BAWAL,2014,"260,38",4.741.950
BUDIDAYA,ACEH,BAWAL,2015,"151,19",2.961.504
BUDIDAYA,ACEH,BAWAL,2016,"0,00",0
BUDIDAYA,ACEH,BAWAL,2019,"24,61",740.488
BUDIDAYA,ACEH,BAWAL,2020,"34,41",1.038.640
BUDIDAYA,ACEH,GABUS,2020,"9,69",649.08
BUDIDAYA,ACEH,GURAME,2010,"844,50",32.205.487
BUDIDAYA,ACEH,GURAME,2011,"584,50",14.612.500
BUDIDAYA,ACEH,GURAME,2012,"568,50",25.582.500
BUDIDAYA,ACEH,GURAME,2013,"605,50",19.617.000
BUDIDAYA,ACEH,GURAME,2014,"686,20",20.462.880
BUDIDAYA,ACEH,GURAME,2015,"351,10",15.035.000
BUDIDAYA,ACEH,GURAME,2016,"101,30",3.788.500
BUDIDAYA,ACEH,GURAME,2017,"537,56",21.502.240
BUDIDAYA,ACEH,GURAME,2018,"42,94",2.108.744
BUDIDAYA,ACEH,GURAME,2019,"349,42",10.177.740
BUDIDAYA,ACEH,GURAMI,2020,"577,41",20.175.405
BUDIDAYA,ACEH,KACI-KACI,2020,"157,99",9.847.440
BUDIDAYA,ACEH,KAKAP,2010,"105,55",3.367.639
BUDIDAYA,ACEH,KAKAP,2011,"185,60",5.568.000
BUDIDAYA,ACEH,KAKAP,2012,"240,80",8.424.500
BUDIDAYA,ACEH,KAKAP,2013,"247,10",15.699.000
BUDIDAYA,ACEH,KAKAP,2014,"131,40",8.317.500
BUDIDAYA,ACEH,KAKAP,2015,"222,40",12.851.472
BUDIDAYA,ACEH,KAKAP,2016,"305,15",16.575.785
BUDIDAYA,ACEH,KAKAP,2017,"247,53",11.902.927
BUDIDAYA,ACEH,KAKAP,2018,"654,67",42.349.360
BUDIDAYA,ACEH,KAKAP,2019,"2.622,91",148.480.295
BUDIDAYA,ACEH,KAKAP,2020,"530,17",21.588.450
BUDIDAYA,ACEH,KEKERANGAN,2010,"0,00",0
BUDIDAYA,ACEH,KEKERANGAN,2011,"0,00",0
BUDIDAYA,ACEH,KEKERANGAN,2012,"0,00",0
BUDIDAYA,ACEH,KEKERANGAN,2013,"0,00",0
BUDIDAYA,ACEH,KEKERANGAN,2014,"0,00",0
BUDIDAYA,ACEH,KEKERANGAN,2015,"0,00",0
BUDIDAYA,ACEH,KEKERANGAN,2016,"0,00",0
BUDIDAYA,ACEH,KEKERANGAN,2017,"2,95",29.54
BUDIDAYA,ACEH,KEKERANGAN,2018,"0,30",3.4
BUDIDAYA,ACEH,KEKERANGAN,2019,"480,00",9.600.000
BUDIDAYA,ACEH,KEPITING,2020,"0,87",60.9
BUDIDAYA,ACEH,KERANG,2020,"186,61",1.306.270
BUDIDAYA,ACEH,KERAPU,2010,"1.278,50",83.420.798
BUDIDAYA,ACEH,KERAPU,2011,"1.129,50",56.900.700
BUDIDAYA,ACEH,KERAPU,2012,"682,60",35.495.200
BUDIDAYA,ACEH,KERAPU,2013,"1.431,10",85.387.916
BUDIDAYA,ACEH,KERAPU,2014,"1.063,20",58.361.800
